,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,男　Ｍ．,7839,6173,68,61,19,-,477,1015,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,9,7,-,-,-,-,-,2,-,18,15,-,-,-,-,-,3,-,27,26,-,-,-,-,-,1,-,48,42,1,-,-,-,1,4,-,84,75,1,-,-,-,1,7,-,160,137,1,1,-,-,6,15,-,283,234,1,2,-,-,12,33,1
,女　Ｆ．,6325,4644,63,95,34,-,590,885,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,8,5,-,-,-,-,-,3,-,7,7,-,-,-,-,-,-,-,12,9,-,-,-,-,-,3,-,34,28,-,-,-,-,1,5,-,59,46,-,-,-,-,4,9,-,79,66,-,-,-,-,2,11,-,168,140,2,-,-,-,11,15,-
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9972,8076,62,51,16,-,383,1351,49,3,3,-,-,-,-,-,-,-,6,4,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,12,10,-,-,-,-,-,2,-,13,10,-,-,-,-,-,3,-,26,23,-,-,-,-,-,3,-,25,20,-,-,-,-,-,5,-,26,22,1,-,-,-,-,3,-,28,25,-,-,-,-,-,2,1,48,42,-,-,-,-,1,5,-,56,45,-,-,-,-,-,11,-,71,64,-,-,-,-,-,6,1,129,115,-,-,-,-,-,14,-,227,203,-,-,-,-,-,21,3,302,257,-,-,-,-,3,42,-,484,422,2,-,-,-,4,54,2
,男　Ｍ．,6077,4996,37,23,8,-,194,805,22,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,8,6,-,-,-,-,-,2,-,12,11,-,-,-,-,-,1,-,13,10,-,-,-,-,-,3,-,19,16,1,-,-,-,-,2,-,20,18,-,-,-,-,-,1,1,26,22,-,-,-,-,1,3,-,37,33,-,-,-,-,-,4,-,40,34,-,-,-,-,-,5,1,73,67,-,-,-,-,-,6,-,139,124,-,-,-,-,-,13,2,188,160,-,-,-,-,3,25,-,329,289,2,-,-,-,4,33,1
,女　Ｆ．,3895,3080,25,28,8,-,189,546,27,3,3,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,9,8,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,14,12,-,-,-,-,-,2,-,12,10,-,-,-,-,-,2,-,7,6,-,-,-,-,-,1,-,8,7,-,-,-,-,-,1,-,22,20,-,-,-,-,-,2,-,19,12,-,-,-,-,-,7,-,31,30,-,-,-,-,-,1,-,56,48,-,-,-,-,-,8,-,88,79,-,-,-,-,-,8,1,114,97,-,-,-,-,-,17,-,155,133,-,-,-,-,-,21,1
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物＜腫瘍＞　　　　,総数,4295,3170,42,61,20,-,382,598,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,4,2,-,-,-,-,-,2,-,4,1,-,-,-,-,-,3,-,23,19,-,-,-,-,-,3,1,44,33,-,-,-,-,-,10,1,71,53,1,-,-,-,3,12,2,126,106,-,-,-,-,2,18,-
,男　Ｍ．,2253,1722,16,24,8,-,159,310,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,15,12,-,-,-,-,-,3,-,28,22,-,-,-,-,-,5,1,48,38,-,-,-,-,2,6,2,83,71,-,-,-,-,2,10,-
,女　Ｆ．,2042,1448,26,37,12,-,223,288,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,4,1,-,-,-,-,-,3,-,8,7,-,-,-,-,-,-,1,16,11,-,-,-,-,-,5,-,23,15,1,-,-,-,1,6,-,43,35,-,-,-,-,-,8,-
02121　　　その他の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,30145,21554,324,363,131,-,2373,5273,258,3,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-,8,2,-,-,-,-,-,6,-,5,3,-,-,-,-,-,2,-,23,11,-,-,-,-,-,12,-,22,12,-,-,-,-,-,10,-,28,10,-,-,-,-,-,18,-,53,30,-,-,-,-,1,22,-,59,35,-,-,-,-,-,24,-,46,29,1,-,-,-,-,16,-,76,55,-,-,-,-,1,20,-,100,72,1,-,-,-,1,24,2,180,132,1,-,-,-,3,43,1,340,243,1,-,-,-,7,85,4,614,473,2,-,-,-,10,120,9,817,624,6,-,-,-,20,159,8,1231,931,4,3,2,-,42,241,10
,男　Ｍ．,16549,12174,167,148,55,-,1044,2889,127,3,1,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,6,2,-,-,-,-,-,4,-,3,1,-,-,-,-,-,2,-,15,6,-,-,-,-,-,9,-,13,7,-,-,-,-,-,6,-,16,4,-,-,-,-,-,12,-,37,21,-,-,-,-,-,16,-,41,25,-,-,-,-,-,16,-,25,17,1,-,-,-,-,7,-,36,24,-,-,-,-,-,12,-,49,37,-,-,-,-,1,11,-,107,80,1,-,-,-,2,24,-,192,146,-,-,-,-,1,41,4,367,283,1,-,-,-,7,72,4,500,381,3,-,-,-,14,96,6,724,556,2,3,2,-,26,132,5
,女　Ｆ．,13596,9380,157,215,76,-,1329,2384,131,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,2,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,8,5,-,-,-,-,-,3,-,9,5,-,-,-,-,-,4,-,12,6,-,-,-,-,-,6,-,16,9,-,-,-,-,1,6,-,18,10,-,-,-,-,-,8,-,21,12,-,-,-,-,-,9,-,40,31,-,-,-,-,1,8,-,51,35,1,-,-,-,-,13,2,73,52,-,-,-,-,1,19,1,148,97,1,-,-,-,6,44,-,247,190,1,-,-,-,3,48,5,317,243,3,-,-,-,6,63,2,507,375,2,-,-,-,16,109,5
02200　　その他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　,総数,13909,10191,185,420,160,-,1413,1593,107,10,9,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,17,14,-,-,-,-,-,3,-,13,9,-,-,-,-,-,4,-,7,6,-,-,-,-,-,1,-,10,10,-,-,-,-,-,-,-,14,9,-,-,-,-,-,5,-,18,12,-,-,-,-,-,6,-,26,19,-,-,-,-,-,7,-,44,32,1,-,-,-,2,9,-,49,38,1,-,-,-,5,5,-,126,105,1,-,-,-,2,18,-,163,124,2,-,-,-,10,27,-,218,170,2,1,-,-,4,39,2,374,294,4,3,1,-,20,49,4
,男　Ｍ．,7620,5809,89,139,48,-,580,950,53,3,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,4,2,-,-,-,-,-,2,-,6,4,-,-,-,-,-,2,-,4,3,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,12,8,-,-,-,-,-,4,-,16,12,-,-,-,-,-,4,-,20,12,1,-,-,-,1,6,-,34,27,1,-,-,-,3,3,-,69,57,1,-,-,-,1,10,-,91,67,1,-,-,-,6,17,-,135,110,1,-,-,-,1,23,-,240,195,-,2,-,-,9,31,3
,女　Ｆ．,6289,4382,96,281,112,-,833,643,54,7,7,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,12,-,-,-,-,-,1,-,7,5,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,7,3,-,-,-,-,-,4,-,6,4,-,-,-,-,-,2,-,10,7,-,-,-,-,-,3,-,24,20,-,-,-,-,1,3,-,15,11,-,-,-,-,2,2,-,57,48,-,-,-,-,1,8,-,72,57,1,-,-,-,4,10,-,83,60,1,1,-,-,3,16,2,134,99,4,1,1,-,11,18,1
02201　　　中枢神経系のその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,2553,1709,35,124,58,-,361,304,20,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,10,6,-,-,-,-,-,4,-,3,2,-,-,-,-,-,1,-,8,8,-,-,-,-,-,-,-,7,5,-,-,-,-,-,2,-,10,6,-,-,-,-,-,4,-,16,10,-,-,-,-,-,6,-,27,19,-,-,-,-,2,6,-,21,14,1,-,-,-,4,2,-,44,32,1,-,-,-,2,9,-,58,35,1,-,-,-,7,15,-,57,41,-,1,-,-,1,13,1,97,68,1,2,1,-,12,12,2
,男　Ｍ．,1215,852,14,42,17,-,138,160,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,5,3,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,6,3,-,-,-,-,-,3,-,9,6,-,-,-,-,-,3,-,10,5,-,-,-,-,1,4,-,17,12,1,-,-,-,2,2,-,27,21,1,-,-,-,1,4,-,39,23,1,-,-,-,5,10,-,33,24,-,-,-,-,-,9,-,59,47,-,1,-,-,5,5,1
,女　Ｆ．,1338,857,21,82,41,-,223,144,11,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,7,4,-,-,-,-,-,3,-,17,14,-,-,-,-,1,2,-,4,2,-,-,-,-,2,-,-,17,11,-,-,-,-,1,5,-,19,12,-,-,-,-,2,5,-,24,17,-,1,-,-,1,4,1,38,21,1,1,1,-,7,7,1
02202　　　中枢神経系を除くその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,11356,8482,150,296,102,-,1052,1289,87,9,8,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,4,-,-,-,-,-,3,-,8,6,-,-,-,-,-,2,-,10,9,-,-,-,-,-,1,-,17,13,1,-,-,-,-,3,-,28,24,-,-,-,-,1,3,-,82,73,-,-,-,-,-,9,-,105,89,1,-,-,-,3,12,-,161,129,2,-,-,-,3,26,1,277,226,3,1,-,-,8,37,2
,男　Ｍ．,6405,4957,75,97,31,-,442,790,44,3,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,7,6,-,-,-,-,-,1,-,10,7,1,-,-,-,-,2,-,17,15,-,-,-,-,1,1,-,42,36,-,-,-,-,-,6,-,52,44,-,-,-,-,1,7,-,102,86,1,-,-,-,1,14,-,181,148,-,1,-,-,4,26,2
,女　Ｆ．,4951,3525,75,199,71,-,610,499,43,6,6,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,5,2,-,-,-,-,-,3,-,2,1,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,11,9,-,-,-,-,-,2,-,40,37,-,-,-,-,-,3,-,53,45,1,-,-,-,2,5,-,59,43,1,-,-,-,2,12,1,96,78,3,-,-,-,4,11,-
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,4882,3858,82,153,41,-,380,378,31,9,9,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,10,10,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,16,16,-,-,-,-,-,-,-,14,10,-,-,-,-,-,4,-,27,24,-,-,-,-,-,2,1,68,58,-,-,-,-,-,9,1,75,65,-,-,-,-,1,8,1,115,99,1,-,-,-,1,14,-
,男　Ｍ．,2199,1846,21,38,10,-,111,173,10,6,6,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,12,12,-,-,-,-,-,-,-,8,5,-,-,-,-,-,3,-,15,13,-,-,-,-,-,1,1,39,31,-,-,-,-,-,7,1,47,41,-,-,-,-,-,5,1,71,62,-,-,-,-,-,9,-
,女　Ｆ．,2683,2012,61,115,31,-,269,205,21,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,29,27,-,-,-,-,-,2,-,28,24,-,-,-,-,1,3,-,44,37,1,-,-,-,1,5,-
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2565,1857,50,103,23,-,288,242,25,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,7,4,-,-,-,-,-,3,-,9,9,-,-,-,-,-,-,-,21,15,-,-,-,-,-,6,-,28,21,-,-,-,-,1,5,1,35,27,1,-,-,-,1,6,-
,男　Ｍ．,1080,843,11,27,5,-,84,108,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,7,7,-,-,-,-,-,-,-,12,7,-,-,-,-,-,5,-,15,11,-,-,-,-,-,3,1,19,15,-,-,-,-,-,4,-
,女　Ｆ．,1485,1014,39,76,18,-,204,134,18,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,9,8,-,-,-,-,-,1,-,13,10,-,-,-,-,1,2,-,16,12,1,-,-,-,1,2,-
03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,総数,2317,2001,32,50,18,-,92,136,6,8,8,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,9,9,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,18,15,-,-,-,-,-,2,1,47,43,-,-,-,-,-,3,1,47,44,-,-,-,-,-,3,-,80,72,-,-,-,-,-,8,-
,男　Ｍ．,1119,1003,10,11,5,-,27,65,3,6,6,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,8,6,-,-,-,-,-,1,1,27,24,-,-,-,-,-,2,1,32,30,-,-,-,-,-,2,-,52,47,-,-,-,-,-,5,-
,女　Ｆ．,1198,998,22,39,13,-,65,71,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,20,19,-,-,-,-,-,1,-,15,14,-,-,-,-,-,1,-,28,25,-,-,-,-,-,3,-
04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,25662,16413,476,1165,295,-,2277,5026,305,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,5,-,-,-,-,-,2,-,18,16,-,-,-,-,-,2,-,8,7,-,-,-,-,-,1,-,6,4,-,-,-,-,-,2,-,16,11,-,-,-,-,-,5,-,20,11,-,-,-,-,-,8,1,32,11,-,-,-,-,-,19,2,57,32,1,-,-,-,-,23,1,66,40,-,-,-,-,1,23,2,131,68,1,-,-,-,1,57,4,255,149,3,-,-,-,3,92,8,515,275,4,1,-,-,2,218,15,697,352,1,1,-,-,9,320,14,902,522,4,3,1,-,17,343,13
,男　Ｍ．,13812,8830,251,443,112,-,801,3301,186,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,8,7,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,10,6,-,-,-,-,-,4,-,13,9,-,-,-,-,-,3,1,22,9,-,-,-,-,-,12,1,43,24,1,-,-,-,-,17,1,36,18,-,-,-,-,1,15,2,85,46,1,-,-,-,-,34,4,173,101,2,-,-,-,3,61,6,362,188,2,1,-,-,1,156,14,526,248,1,1,-,-,5,259,12,678,366,3,2,1,-,11,284,12
,女　Ｆ．,11850,7583,225,722,183,-,1476,1725,119,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,10,9,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,3,2,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,7,2,-,-,-,-,-,5,-,10,2,-,-,-,-,-,7,1,14,8,-,-,-,-,-,6,-,30,22,-,-,-,-,-,8,-,46,22,-,-,-,-,1,23,-,82,48,1,-,-,-,-,31,2,153,87,2,-,-,-,1,62,1,171,104,-,-,-,-,4,61,2,224,156,1,1,-,-,6,59,1
04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14959,8773,356,794,204,-,1506,3339,191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,7,6,-,-,-,-,-,1,-,9,5,-,-,-,-,-,3,1,14,6,-,-,-,-,-,7,1,33,16,1,-,-,-,-,15,1,33,19,-,-,-,-,-,13,1,65,33,-,-,-,-,-,30,2,132,70,3,-,-,-,2,56,1,304,147,3,1,-,-,1,144,8,443,209,1,-,-,-,5,221,7,590,304,4,3,1,-,12,257,10
,男　Ｍ．,8603,5041,205,311,80,-,568,2358,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,7,4,-,-,-,-,-,2,1,11,5,-,-,-,-,-,6,-,23,11,1,-,-,-,-,10,1,20,12,-,-,-,-,-,7,1,48,26,-,-,-,-,-,20,2,96,50,2,-,-,-,2,41,1,232,108,2,1,-,-,1,112,8,364,163,1,-,-,-,3,190,7,472,227,3,2,1,-,10,220,10
