令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,20,20,-,-,-,-,-,-,-,60,54,1,-,-,-,-,5,-,102,89,1,-,-,-,1,11,-,209,198,1,1,1,-,7,2,-,315,286,1,2,-,-,7,17,2,337,310,-,6,4,-,13,6,2,147,125,5,2,-,-,9,5,1,23,17,-,2,-,-,1,3,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,18,18,-,-,-,-,-,-,-,50,46,1,-,-,-,-,3,-,83,73,1,-,-,-,1,8,-,140,133,1,1,1,-,3,2,-,178,164,1,1,-,-,3,8,1,181,167,-,3,3,-,5,5,1,71,63,4,-,-,-,2,2,-,6,4,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,2,2,-,-,-,-,-,-,-,10,8,-,-,-,-,-,2,-,19,16,-,-,-,-,-,3,-,69,65,-,-,-,-,4,-,-,137,122,-,1,-,-,4,9,1,156,143,-,3,1,-,8,1,1,76,62,1,2,-,-,7,3,1,17,13,-,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8,7,-,-,-,-,-,1,-,12,12,-,-,-,-,-,-,-,36,33,-,-,-,-,1,2,-,33,32,-,-,-,-,-,1,-,53,45,-,3,1,-,3,2,-,49,46,-,-,-,-,1,2,-,12,10,-,1,-,-,1,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,6,5,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,16,13,-,-,-,-,1,2,-,16,16,-,-,-,-,-,-,-,16,13,-,1,-,-,1,1,-,18,18,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,2,2,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,20,20,-,-,-,-,-,-,-,17,16,-,-,-,-,-,1,-,37,32,-,2,1,-,2,1,-,31,28,-,-,-,-,1,2,-,10,8,-,1,-,-,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,511,471,6,1,1,-,10,22,1,941,866,9,9,7,-,29,23,5,1536,1442,15,11,6,-,37,29,2,2240,2085,27,18,7,-,60,46,4,2598,2387,33,38,15,-,79,57,4,2097,1898,23,39,25,-,82,48,7,830,728,11,18,7,-,47,22,4,133,113,-,4,2,-,11,4,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,338,312,3,1,1,-,8,13,1,609,555,6,7,6,-,19,18,4,965,910,7,7,3,-,23,16,2,1260,1173,17,11,3,-,33,25,1,1290,1205,16,14,5,-,29,25,1,808,749,9,9,6,-,24,16,1,222,198,3,4,2,-,11,6,-,21,18,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,173,159,3,-,-,-,2,9,-,332,311,3,2,1,-,10,5,1,571,532,8,4,3,-,14,13,-,980,912,10,7,4,-,27,21,3,1308,1182,17,24,10,-,50,32,3,1289,1149,14,30,19,-,58,32,6,608,530,8,14,5,-,36,16,4,112,95,-,3,2,-,10,4,-,-,-,-,-,-,-,-,-,-
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,111,95,3,2,1,-,2,9,-,164,137,1,3,-,-,6,16,1,213,183,1,6,2,-,6,16,1,257,200,4,8,6,-,16,27,2,303,232,3,12,4,-,31,25,-,189,120,3,8,2,-,36,18,4,53,35,-,5,2,-,8,4,1,3,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
