令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
02104　　　結腸の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,2613,1918,21,10,3,-,107,547,10,4553,3332,40,23,8,-,247,881,30,6045,4257,41,46,13,-,382,1275,44,6701,4629,72,104,43,-,611,1223,62,6599,4423,115,155,44,-,782,1059,65,5285,3367,82,168,62,-,804,785,79,1979,1159,27,92,31,-,383,289,29,253,140,5,17,4,-,42,49,-,2,2,-,-,-,-,-,-,-
,男　Ｍ．,1595,1181,11,6,1,-,70,321,6,2754,2009,26,17,6,-,147,538,17,3490,2462,26,22,6,-,210,746,24,3466,2414,33,41,16,-,266,680,32,2851,1953,48,53,13,-,274,500,23,1705,1138,23,47,15,-,203,274,20,457,281,5,22,8,-,78,68,3,48,35,-,1,-,-,6,6,-,2,2,-,-,-,-,-,-,-
,女　Ｆ．,1018,737,10,4,2,-,37,226,4,1799,1323,14,6,2,-,100,343,13,2555,1795,15,24,7,-,172,529,20,3235,2215,39,63,27,-,345,543,30,3748,2470,67,102,31,-,508,559,42,3580,2229,59,121,47,-,601,511,59,1522,878,22,70,23,-,305,221,26,205,105,5,16,4,-,36,43,-,-,-,-,-,-,-,-,-,-
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,総数,1623,1208,12,4,2,-,54,335,10,2448,1765,10,11,6,-,150,499,13,2768,1969,29,18,7,-,190,546,16,2657,1792,30,42,12,-,243,524,26,2071,1357,25,56,24,-,269,344,20,1279,798,12,72,21,-,205,177,15,441,249,6,19,3,-,94,68,5,67,30,3,4,-,-,13,16,1,1,-,-,-,-,-,1,-,-
,男　Ｍ．,1159,873,8,3,2,-,40,227,8,1754,1268,9,9,4,-,103,355,10,1850,1318,20,12,4,-,124,363,13,1645,1121,20,26,8,-,119,345,14,1086,741,15,21,10,-,109,188,12,510,323,4,24,9,-,72,81,6,128,80,2,6,1,-,20,20,-,15,8,-,2,-,-,4,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,464,335,4,1,-,-,14,108,2,694,497,1,2,2,-,47,144,3,918,651,9,6,3,-,66,183,3,1012,671,10,16,4,-,124,179,12,985,616,10,35,14,-,160,156,8,769,475,8,48,12,-,133,96,9,313,169,4,13,2,-,74,48,5,52,22,3,2,-,-,9,15,1,1,-,-,-,-,-,1,-,-
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,1537,1190,8,4,1,-,56,270,9,3039,2318,24,7,1,-,114,559,17,3943,2941,40,24,11,-,187,728,23,4485,3258,46,38,13,-,285,826,32,4320,2940,75,84,33,-,416,764,41,2555,1642,47,98,30,-,339,390,39,660,416,9,24,10,-,99,107,5,75,38,2,6,2,-,9,19,1,3,3,-,-,-,-,-,-,-
,男　Ｍ．,1216,934,6,1,-,-,45,223,7,2344,1800,19,5,-,-,77,429,14,2901,2179,26,17,8,-,121,541,17,3010,2182,32,25,9,-,175,581,15,2611,1793,45,47,18,-,204,502,20,1313,869,23,35,13,-,137,226,23,235,143,3,8,3,-,37,42,2,11,6,-,1,-,-,1,2,1,3,3,-,-,-,-,-,-,-
,女　Ｆ．,321,256,2,3,1,-,11,47,2,695,518,5,2,1,-,37,130,3,1042,762,14,7,3,-,66,187,6,1475,1076,14,13,4,-,110,245,17,1709,1147,30,37,15,-,212,262,21,1242,773,24,63,17,-,202,164,16,425,273,6,16,7,-,62,65,3,64,32,2,5,2,-,8,17,-,-,-,-,-,-,-,-,-,-
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,882,670,7,1,-,-,17,183,4,1793,1324,17,2,1,-,62,385,3,2683,1973,31,8,3,-,122,534,15,3661,2639,29,31,11,-,261,680,21,3705,2578,38,63,21,-,376,611,39,2495,1640,43,76,26,-,335,369,32,917,554,12,28,11,-,180,123,20,134,64,2,6,1,-,29,28,5,1,1,-,-,-,-,-,-,-
,男　Ｍ．,553,426,1,-,-,-,12,111,3,1126,840,8,2,1,-,33,241,2,1700,1253,22,6,2,-,79,330,10,2105,1550,17,19,5,-,121,390,8,1858,1339,23,23,7,-,157,304,12,1008,681,11,26,10,-,122,158,10,248,160,2,5,4,-,43,37,1,20,13,-,-,-,-,3,4,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,329,244,6,1,-,-,5,72,1,667,484,9,-,-,-,29,144,1,983,720,9,2,1,-,43,204,5,1556,1089,12,12,6,-,140,290,13,1847,1239,15,40,14,-,219,307,27,1487,959,32,50,16,-,213,211,22,669,394,10,23,7,-,137,86,19,114,51,2,6,1,-,26,24,5,1,1,-,-,-,-,-,-,-
02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,3334,2433,28,2,-,-,87,768,16,5859,4226,55,18,10,-,181,1352,27,7796,5546,69,23,13,-,369,1729,60,8231,5810,73,47,11,-,534,1702,65,6479,4500,72,67,21,-,578,1185,77,3590,2352,65,74,24,-,446,600,53,1049,667,16,22,4,-,179,150,15,127,61,2,4,1,-,30,25,5,2,1,-,-,-,-,-,-,1
,男　Ｍ．,1976,1449,14,2,-,-,54,449,8,3294,2401,30,6,4,-,94,743,20,4132,2950,37,16,8,-,183,918,28,3989,2868,42,21,5,-,223,812,23,2635,1867,31,24,6,-,184,510,19,1132,759,14,21,11,-,121,207,10,236,155,4,4,1,-,35,34,4,13,8,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,1358,984,14,-,-,-,33,319,8,2565,1825,25,12,6,-,87,609,7,3664,2596,32,7,5,-,186,811,32,4242,2942,31,26,6,-,311,890,42,3844,2633,41,43,15,-,394,675,58,2458,1593,51,53,13,-,325,393,43,813,512,12,18,3,-,144,116,11,114,53,2,4,1,-,27,23,5,2,1,-,-,-,-,-,-,1
02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,50,36,-,-,-,-,5,8,1,100,77,-,1,1,-,9,13,-,144,112,-,1,1,-,9,22,-,176,119,1,2,1,-,16,36,2,130,86,3,3,1,-,23,14,1,80,44,2,2,1,-,18,13,1,19,9,1,1,-,-,1,7,-,4,2,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,47,34,-,-,-,-,5,7,1,95,74,-,1,1,-,9,11,-,134,104,-,1,1,-,8,21,-,153,102,1,2,1,-,14,33,1,116,76,3,3,1,-,20,13,1,66,38,2,2,1,-,12,11,1,12,6,1,1,-,-,1,3,-,4,2,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,3,2,-,-,-,-,-,1,-,5,3,-,-,-,-,-,2,-,10,8,-,-,-,-,1,1,-,23,17,-,-,-,-,2,3,1,14,10,-,-,-,-,3,1,-,14,6,-,-,-,-,6,2,-,7,3,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,5435,4337,34,12,3,-,195,822,35,11440,8860,88,24,10,-,519,1884,65,15896,12014,134,71,27,-,856,2730,91,15875,11643,191,124,47,-,1076,2717,124,12060,8570,176,170,66,-,1087,1945,112,6847,4691,119,161,50,-,824,969,83,2068,1317,39,90,26,-,298,302,22,259,157,6,17,6,-,42,34,3,4,2,1,-,-,-,-,-,1
,男　Ｍ．,4184,3377,26,11,3,-,143,599,28,8725,6831,71,19,7,-,366,1391,47,11785,8999,94,49,19,-,578,1998,67,11191,8328,131,79,29,-,634,1948,71,7649,5579,96,96,41,-,591,1231,56,3712,2622,68,77,24,-,367,542,36,871,594,11,26,6,-,105,128,7,84,52,2,5,1,-,12,13,-,4,2,1,-,-,-,-,-,1
,女　Ｆ．,1251,960,8,1,-,-,52,223,7,2715,2029,17,5,3,-,153,493,18,4111,3015,40,22,8,-,278,732,24,4684,3315,60,45,18,-,442,769,53,4411,2991,80,74,25,-,496,714,56,3135,2069,51,84,26,-,457,427,47,1197,723,28,64,20,-,193,174,15,175,105,4,12,5,-,30,21,3,-,-,-,-,-,-,-,-,-
02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,104,75,1,1,1,-,7,20,-,179,127,-,1,1,-,11,39,1,227,163,4,1,-,-,17,41,1,300,206,10,2,1,-,24,56,2,322,202,4,7,3,-,45,60,4,287,168,5,12,5,-,53,47,2,169,79,2,8,2,-,46,31,3,71,28,-,9,4,-,22,11,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,60,46,1,-,-,-,3,10,-,109,78,-,1,1,-,7,23,-,147,103,2,-,-,-,14,27,1,176,122,3,2,1,-,13,36,-,156,103,2,4,1,-,17,30,-,125,77,2,5,1,-,14,25,2,52,24,1,-,-,-,11,16,-,9,2,-,2,1,-,3,1,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,44,29,-,1,1,-,4,10,-,70,49,-,-,-,-,4,16,1,80,60,2,1,-,-,3,14,-,124,84,7,-,-,-,11,20,2,166,99,2,3,2,-,28,30,4,162,91,3,7,4,-,39,22,-,117,55,1,8,2,-,35,15,3,62,26,-,7,3,-,19,10,-,-,-,-,-,-,-,-,-,-
02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1433,1020,15,3,2,-,75,313,7,1930,1313,8,10,5,-,157,422,20,2075,1372,19,19,10,-,174,469,22,1991,1246,18,22,8,-,247,431,27,1687,970,30,41,12,-,311,302,33,1247,630,10,45,11,-,319,221,22,594,263,7,35,14,-,172,105,12,129,45,1,11,4,-,48,22,2,-,-,-,-,-,-,-,-,-
,男　Ｍ．,12,9,-,-,-,-,-,3,-,21,14,-,-,-,-,3,4,-,18,12,-,-,-,-,1,5,-,24,16,-,-,-,-,-,8,-,18,10,-,-,-,-,2,6,-,18,10,-,2,1,-,2,4,-,4,1,-,-,-,-,2,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,1421,1011,15,3,2,-,75,310,7,1909,1299,8,10,5,-,154,418,20,2057,1360,19,19,10,-,173,464,22,1967,1230,18,22,8,-,247,423,27,1669,960,30,41,12,-,309,296,33,1229,620,10,43,10,-,317,217,22,590,262,7,35,14,-,170,104,12,128,44,1,11,4,-,48,22,2,-,-,-,-,-,-,-,-,-
02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,691,504,10,1,1,-,31,140,5,798,585,7,5,3,-,49,144,8,881,626,7,7,3,-,57,177,7,907,591,7,15,5,-,98,185,11,750,448,11,21,4,-,106,143,21,500,293,4,20,7,-,85,87,11,152,65,3,8,-,-,42,30,4,19,9,-,1,-,-,4,5,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,691,504,10,1,1,-,31,140,5,798,585,7,5,3,-,49,144,8,881,626,7,7,3,-,57,177,7,907,591,7,15,5,-,98,185,11,750,448,11,21,4,-,106,143,21,500,293,4,20,7,-,85,87,11,152,65,3,8,-,-,42,30,4,19,9,-,1,-,-,4,5,-,-,-,-,-,-,-,-,-,-
02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,521,365,7,1,1,-,20,126,2,617,439,3,-,-,-,31,140,4,632,436,2,3,1,-,42,145,4,644,454,8,2,-,-,43,128,9,479,314,9,6,1,-,53,85,12,306,189,4,8,1,-,37,63,5,99,54,-,2,1,-,19,21,3,21,9,-,1,-,-,3,7,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,521,365,7,1,1,-,20,126,2,617,439,3,-,-,-,31,140,4,632,436,2,3,1,-,42,145,4,644,454,8,2,-,-,43,128,9,479,314,9,6,1,-,53,85,12,306,189,4,8,1,-,37,63,5,99,54,-,2,1,-,19,21,3,21,9,-,1,-,-,3,7,1,-,-,-,-,-,-,-,-,-
02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,517,385,4,2,1,-,24,100,2,1332,884,15,5,1,-,104,312,12,2209,1459,28,22,8,-,183,499,18,2958,1861,38,34,17,-,342,655,28,3314,2022,53,91,30,-,478,629,41,2292,1306,29,82,26,-,432,407,36,632,317,16,28,8,-,139,124,8,59,25,1,4,-,-,15,12,2,-,-,-,-,-,-,-,-,-
,男　Ｍ．,517,385,4,2,1,-,24,100,2,1332,884,15,5,1,-,104,312,12,2209,1459,28,22,8,-,183,499,18,2958,1861,38,34,17,-,342,655,28,3314,2022,53,91,30,-,478,629,41,2292,1306,29,82,26,-,432,407,36,632,317,16,28,8,-,139,124,8,59,25,1,4,-,-,15,12,2,-,-,-,-,-,-,-,-,-
,女　Ｆ．,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・
02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,413,303,4,2,1,-,19,82,3,887,654,11,2,1,-,54,156,10,1333,981,13,17,6,-,78,240,4,1976,1376,27,28,12,-,178,351,16,2198,1497,32,44,12,-,249,354,22,1744,1147,26,56,20,-,251,245,19,645,355,11,37,12,-,131,102,9,71,35,-,-,-,-,20,12,4,-,-,-,-,-,-,-,-,-
,男　Ｍ．,313,229,2,2,1,-,13,66,1,670,489,7,-,-,-,42,122,10,994,737,12,14,6,-,53,175,3,1397,957,24,19,9,-,118,265,14,1458,1006,18,31,8,-,151,239,13,1040,673,15,28,14,-,148,163,13,330,188,4,13,6,-,64,58,3,35,18,-,-,-,-,9,8,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,100,74,2,-,-,-,6,16,2,217,165,4,2,1,-,12,34,-,339,244,1,3,-,-,25,65,1,579,419,3,9,3,-,60,86,2,740,491,14,13,4,-,98,115,9,704,474,11,28,6,-,103,82,6,315,167,7,24,6,-,67,44,6,36,17,-,-,-,-,11,4,4,-,-,-,-,-,-,-,-,-
02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,総数,307,193,1,5,4,-,39,65,4,452,256,2,18,16,-,81,87,8,511,314,7,9,6,-,85,89,7,478,278,6,12,6,-,92,80,10,303,195,5,11,6,-,45,44,3,102,63,2,5,2,-,17,13,2,19,14,-,3,1,-,-,2,-,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,176,116,1,4,4,-,22,32,1,245,146,1,11,9,-,44,38,5,288,174,5,4,2,-,46,56,3,247,152,4,4,2,-,43,38,6,156,108,2,6,3,-,20,18,2,42,28,1,3,1,-,6,4,-,5,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,131,77,-,1,-,-,17,33,3,207,110,1,7,7,-,37,49,3,223,140,2,5,4,-,39,33,4,231,126,2,8,4,-,49,42,4,147,87,3,5,3,-,25,26,1,60,35,1,2,1,-,11,9,2,14,10,-,2,1,-,-,2,-,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,790,657,4,2,-,-,30,94,3,1570,1257,11,11,4,-,77,205,9,2389,1874,19,17,6,-,145,320,14,3028,2317,26,18,3,-,245,402,20,3022,2219,40,46,22,-,283,416,18,1823,1299,18,39,12,-,179,272,16,477,309,7,16,4,-,65,69,11,43,24,-,4,2,-,5,10,-,1,-,-,-,-,-,-,-,1
,男　Ｍ．,513,426,3,2,-,-,19,61,2,975,793,7,6,2,-,45,120,4,1446,1167,9,11,4,-,80,168,11,1758,1374,17,6,2,-,120,234,7,1544,1154,22,19,6,-,118,225,6,803,600,6,12,5,-,55,121,9,147,103,-,1,-,-,20,19,4,8,6,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,277,231,1,-,-,-,11,33,1,595,464,4,5,2,-,32,85,5,943,707,10,6,2,-,65,152,3,1270,943,9,12,1,-,125,168,13,1478,1065,18,27,16,-,165,191,12,1020,699,12,27,7,-,124,151,7,330,206,7,15,4,-,45,50,7,35,18,-,3,2,-,5,9,-,-,-,-,-,-,-,-,-,-
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,740,662,-,-,-,-,9,65,4,1442,1212,5,2,1,-,24,198,1,1871,1540,9,5,-,-,46,262,9,1910,1534,12,10,5,-,76,267,11,1558,1176,14,15,1,-,104,239,10,789,549,15,14,7,-,89,115,7,199,135,4,4,1,-,24,32,-,16,10,-,1,1,-,3,2,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,502,453,-,-,-,-,5,43,1,973,814,4,1,1,-,15,138,1,1261,1040,6,3,-,-,25,181,6,1181,960,7,6,4,-,46,158,4,810,618,9,8,1,-,55,118,2,368,264,7,3,1,-,34,57,3,71,53,1,1,-,-,6,10,-,4,2,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,238,209,-,-,-,-,4,22,3,469,398,1,1,-,-,9,60,-,610,500,3,2,-,-,21,81,3,729,574,5,4,1,-,30,109,7,748,558,5,7,-,-,49,121,8,421,285,8,11,6,-,55,58,4,128,82,3,3,1,-,18,22,-,12,8,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物＜腫瘍＞　　　　,総数,225,191,-,2,1,-,6,26,-,483,388,2,3,2,-,25,61,4,747,574,7,6,4,-,55,100,5,983,737,8,13,5,-,70,150,5,931,637,13,16,3,-,116,137,12,524,347,10,16,4,-,79,62,10,119,76,1,4,1,-,24,13,1,9,4,-,1,-,-,2,1,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,130,110,-,-,-,-,3,17,-,281,228,1,2,1,-,14,33,3,421,335,3,2,1,-,22,57,2,531,414,3,6,3,-,28,76,4,466,321,6,6,1,-,57,70,6,204,141,3,6,2,-,22,28,4,37,25,-,1,-,-,8,3,-,5,2,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,95,81,-,2,1,-,3,9,-,202,160,1,1,1,-,11,28,1,326,239,4,4,3,-,33,43,3,452,323,5,7,2,-,42,74,1,465,316,7,10,2,-,59,67,6,320,206,7,10,2,-,57,34,6,82,51,1,3,1,-,16,10,1,4,2,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
02121　　　その他の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,2080,1596,9,2,-,-,78,382,13,3661,2766,31,10,7,-,165,670,19,4966,3715,54,23,7,-,282,863,29,5571,3969,52,51,22,-,457,999,43,5263,3620,71,117,45,-,564,841,50,3645,2395,67,92,25,-,530,514,47,1228,758,22,58,19,-,185,184,21,142,78,2,7,4,-,27,26,2,-,-,-,-,-,-,-,-,-
,男　Ｍ．,1311,996,5,2,-,-,54,242,12,2350,1783,20,6,4,-,102,425,14,3077,2325,33,13,4,-,164,525,17,3159,2311,32,33,15,-,208,558,17,2673,1916,35,46,19,-,237,422,17,1426,992,28,27,5,-,168,190,21,398,245,6,14,5,-,58,65,10,33,19,-,4,1,-,2,8,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,769,600,4,-,-,-,24,140,1,1311,983,11,4,3,-,63,245,5,1889,1390,21,10,3,-,118,338,12,2412,1658,20,18,7,-,249,441,26,2590,1704,36,71,26,-,327,419,33,2219,1403,39,65,20,-,362,324,26,830,513,16,44,14,-,127,119,11,109,59,2,3,3,-,25,18,2,-,-,-,-,-,-,-,-,-
02200　　その他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　,総数,548,427,11,4,2,-,29,75,2,1134,901,11,17,11,-,67,136,2,1833,1421,19,32,12,-,136,216,9,2640,2007,25,56,22,-,228,310,14,3113,2274,39,91,29,-,351,327,31,2480,1672,43,142,52,-,360,235,28,951,576,23,64,29,-,173,104,11,130,70,3,10,2,-,26,17,4,1,1,-,-,-,-,-,-,-
,男　Ｍ．,390,301,8,4,2,-,19,57,1,779,633,5,5,2,-,38,97,1,1213,935,13,19,4,-,79,160,7,1633,1275,18,27,14,-,110,196,7,1658,1253,21,30,10,-,146,193,15,1004,704,14,41,10,-,120,112,13,278,189,5,9,6,-,43,27,5,21,10,-,2,-,-,4,4,1,1,1,-,-,-,-,-,-,-
,女　Ｆ．,158,126,3,-,-,-,10,18,1,355,268,6,12,9,-,29,39,1,620,486,6,13,8,-,57,56,2,1007,732,7,29,8,-,118,114,7,1455,1021,18,61,19,-,205,134,16,1476,968,29,101,42,-,240,123,15,673,387,18,55,23,-,130,77,6,109,60,3,8,2,-,22,13,3,-,-,-,-,-,-,-,-,-
02201　　　中枢神経系のその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,132,80,5,3,2,-,19,25,-,229,158,3,11,8,-,27,28,2,335,234,1,16,6,-,47,35,2,423,296,4,19,8,-,61,39,4,541,369,7,22,8,-,89,50,4,377,239,6,28,13,-,66,36,2,134,74,3,19,11,-,22,13,3,18,8,2,3,1,-,2,3,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,80,46,4,3,2,-,11,16,-,125,88,2,3,2,-,11,20,1,196,131,1,10,2,-,28,24,2,225,166,4,9,5,-,25,19,2,232,176,-,6,2,-,29,20,1,111,76,-,6,2,-,14,14,1,27,17,-,3,2,-,6,-,1,3,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,52,34,1,-,-,-,8,9,-,104,70,1,8,6,-,16,8,1,139,103,-,6,4,-,19,11,-,198,130,-,10,3,-,36,20,2,309,193,7,16,6,-,60,30,3,266,163,6,22,11,-,52,22,1,107,57,3,16,9,-,16,13,2,15,8,2,2,1,-,2,1,-,-,-,-,-,-,-,-,-,-
02202　　　中枢神経系を除くその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,416,347,6,1,-,-,10,50,2,905,743,8,6,3,-,40,108,-,1498,1187,18,16,6,-,89,181,7,2217,1711,21,37,14,-,167,271,10,2572,1905,32,69,21,-,262,277,27,2103,1433,37,114,39,-,294,199,26,817,502,20,45,18,-,151,91,8,112,62,1,7,1,-,24,14,4,1,1,-,-,-,-,-,-,-
,男　Ｍ．,310,255,4,1,-,-,8,41,1,654,545,3,2,-,-,27,77,-,1017,804,12,9,2,-,51,136,5,1408,1109,14,18,9,-,85,177,5,1426,1077,21,24,8,-,117,173,14,893,628,14,35,8,-,106,98,12,251,172,5,6,4,-,37,27,4,18,10,-,1,-,-,4,2,1,1,1,-,-,-,-,-,-,-
,女　Ｆ．,106,92,2,-,-,-,2,9,1,251,198,5,4,3,-,13,31,-,481,383,6,7,4,-,38,45,2,809,602,7,19,5,-,82,94,5,1146,828,11,45,13,-,145,104,13,1210,805,23,79,31,-,188,101,14,566,330,15,39,14,-,114,64,4,94,52,1,6,1,-,20,12,3,-,-,-,-,-,-,-,-,-
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,181,163,1,-,-,-,4,13,-,384,348,2,4,3,-,6,23,1,589,517,5,5,2,-,21,38,3,824,682,12,17,4,-,47,61,5,1080,848,23,39,13,-,94,68,8,943,671,20,46,12,-,121,79,6,456,271,16,35,6,-,78,52,4,61,38,2,7,1,-,7,6,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,99,90,-,-,-,-,3,6,-,219,198,-,4,3,-,3,14,-,321,283,3,2,-,-,12,18,3,413,356,5,7,3,-,18,26,1,450,371,8,9,1,-,27,33,2,349,263,3,12,2,-,36,35,-,122,89,2,3,-,-,12,15,1,10,8,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,82,73,1,-,-,-,1,7,-,165,150,2,-,-,-,3,9,1,268,234,2,3,2,-,9,20,-,411,326,7,10,1,-,29,35,4,630,477,15,30,12,-,67,35,6,594,408,17,34,10,-,85,44,6,334,182,14,32,6,-,66,37,3,51,30,2,6,-,-,7,5,1,-,-,-,-,-,-,-,-,-
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,69,60,-,-,-,-,4,5,-,165,142,-,1,-,-,5,16,1,259,213,2,2,-,-,15,25,2,405,320,5,9,3,-,33,34,4,617,453,14,27,8,-,72,44,7,593,388,14,33,9,-,93,60,5,305,171,13,25,2,-,58,34,4,36,18,1,6,1,-,6,4,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,38,32,-,-,-,-,3,3,-,93,77,-,1,-,-,3,12,-,143,120,2,1,-,-,7,11,2,201,169,1,4,2,-,14,12,1,250,194,4,8,1,-,21,21,2,211,145,3,9,1,-,29,25,-,73,52,1,3,-,-,7,9,1,6,4,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,31,28,-,-,-,-,1,2,-,72,65,-,-,-,-,2,4,1,116,93,-,1,-,-,8,14,-,204,151,4,5,1,-,19,22,3,367,259,10,19,7,-,51,23,5,382,243,11,24,8,-,64,35,5,232,119,12,22,2,-,51,25,3,30,14,1,5,-,-,6,3,1,-,-,-,-,-,-,-,-,-
